AlgoType,SmplRate,#Files,Check Type,Index,Yat,Year,Month,Day,Hour,Minute,AudioName,ScoresMeanOn30,AudioUrl,UniqueName
lof,fs1,186,feature 'SpectralFlux' (normal),106,1,2020,3,18,14,0,20200318_140000.WAV,2.2181,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200318_140000.WAV,yat1_20200318_140000
lof,fs1,186,feature 'SpectralRolloff' (normal),137,1,2020,3,23,18,0,20200323_180000.WAV,8.356,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200323_180000.WAV,yat1_20200323_180000
lof,fs1,186,feature 'SpectralRolloff' (normal),64,1,2020,3,11,14,0,20200311_140000.WAV,5.9911,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200311_140000.WAV,yat1_20200311_140000
lof,fs1,186,feature 'SpectralRolloff' (normal),145,1,2020,3,25,2,0,20200325_020000.WAV,3.4941,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200325_020000.WAV,yat1_20200325_020000
lof,fs1,186,feature 'SpectralSpread' (normal),64,1,2020,3,11,14,0,20200311_140000.WAV,4.891,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200311_140000.WAV,yat1_20200311_140000
lof,fs1,186,feature 'SpectralSpread' (normal),138,1,2020,3,23,22,0,20200323_220000.WAV,4.675,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200323_220000.WAV,yat1_20200323_220000
lof,fs1,186,feature 'SpectralSpread' (normal),139,1,2020,3,24,2,0,20200324_020000.WAV,3.6903,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200324_020000.WAV,yat1_20200324_020000
lof,fs1,186,feature 'SpectralTonalPowerRatio' (normal),112,1,2020,3,19,14,0,20200319_140000.WAV,3.4279,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200319_140000.WAV,yat1_20200319_140000
lof,fs1,186,feature 'SpectralTonalPowerRatio' (normal),74,1,2020,3,13,6,0,20200313_060000.WAV,3.3496,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200313_060000.WAV,yat1_20200313_060000
lof,fs1,186,feature 'SpectralTonalPowerRatio' (normal),43,1,2020,3,8,2,0,20200308_020000.WAV,3.1009,http://colecciones.humboldt.org.co/rec/sonidos/publicaciones/MAP/JDT-Yataros/YAT1Audible/20200308_020000.WAV,yat1_20200308_020000
